ISO;Country;Units;Scale;2017;2018;Estimates Start After
IDN;Indonesia;"Purchasing power parity; international dollars";Units;12415,981;13234,099;2018
IRN;Islamic Republic of Iran;"Purchasing power parity; international dollars";Units;20107,604;19376,518;2018
IRQ;Iraq;"Purchasing power parity; international dollars";Units;17708,182;17571,672;2013
IRL;Ireland;"Purchasing power parity; international dollars";Units;72664,146;79617,062;2018
ISR;Israel;"Purchasing power parity; international dollars";Units;36561,748;37994,181;2018
ITA;Italy;"Purchasing power parity; international dollars";Units;38335,421;39675,525;2018
JAM;Jamaica;"Purchasing power parity; international dollars";Units;9148,306;9473,394;2015
JPN;Japan;"Purchasing power parity; international dollars";Units;42760,538;44246,37;2017
JOR;Jordan;"Purchasing power parity; international dollars";Units;9219,156;9431,176;2015
KAZ;Kazakhstan;"Purchasing power parity; international dollars";Units;26278,802;27659,726;2018
KEN;Kenya;"Purchasing power parity; international dollars";Units;3496,672;3704,835;2013
KIR;Kiribati;"Purchasing power parity; international dollars";Units;2026,214;2087,839;2017
KOR;Korea;"Purchasing power parity; international dollars";Units;41330,723;43289,874;2018
KOS;Kosovo;"Purchasing power parity; international dollars";Units;10933,62;11664,258;0
KWT;Kuwait;"Purchasing power parity; international dollars";Units;66102,765;66652,391;2016
KGZ;Kyrgyz Republic;"Purchasing power parity; international dollars";Units;3770,951;3922,016;2018
LAO;Lao P.D.R.;"Purchasing power parity; international dollars";Units;7081,985;7593,695;2018
LVA;Latvia;"Purchasing power parity; international dollars";Units;27645,883;29911,581;2018
LBN;Lebanon;"Purchasing power parity; international dollars";Units;14330,224;14689,13;2012
LSO;Lesotho;"Purchasing power parity; international dollars";Units;3327,352;3479,2;2016
LBR;Liberia;"Purchasing power parity; international dollars";Units;1402,525;1418,1;2016
LBY;Libya;"Purchasing power parity; international dollars";Units;9595,87;11472,534;2014
LTU;Lithuania;"Purchasing power parity; international dollars";Units;32377,087;34596,602;2018
LUX;Luxembourg;"Purchasing power parity; international dollars";Units;103150,382;106371,806;2018
MAC;Macao SAR;"Purchasing power parity; international dollars";Units;110434,423;115913,092;2018
MDG;Madagascar;"Purchasing power parity; international dollars";Units;1555,296;1630,605;2010
MWI;Malawi;"Purchasing power parity; international dollars";Units;1167,979;1199,808;2011
MYS;Malaysia;"Purchasing power parity; international dollars";Units;29513,182;31311,334;2018
MDV;Maldives;"Purchasing power parity; international dollars";Units;20194,334;21873,652;2014
MLI;Mali;"Purchasing power parity; international dollars";Units;2287,66;2380,013;2017
MLT;Malta;"Purchasing power parity; international dollars";Units;42674,729;45163,517;2018
MHL;Marshall Islands;"Purchasing power parity; international dollars";Units;3646,46;3770,381;2016
MRT;Mauritania;"Purchasing power parity; international dollars";Units;4432,902;4598,19;2014
MUS;Mauritius;"Purchasing power parity; international dollars";Units;22323,445;23709,143;2018
MEX;Mexico;"Purchasing power parity; international dollars";Units;19927,093;20616,31;2018
FSM;Micronesia;"Purchasing power parity; international dollars";Units;3333,744;3453,796;2018
MDA;Moldova;"Purchasing power parity; international dollars";Units;6853,952;7307,155;2018
MNG;Mongolia;"Purchasing power parity; international dollars";Units;12515,549;13451,175;2014
MNE;Montenegro;"Purchasing power parity; international dollars";Units;17853,07;19171,814;2018
MAR;Morocco;"Purchasing power parity; international dollars";Units;8557,447;8930,691;2018
MOZ;Mozambique;"Purchasing power parity; international dollars";Units;1253,984;1291,519;2015
MMR;Myanmar;"Purchasing power parity; international dollars";Units;5710,543;6226,78;2015
NAM;Namibia;"Purchasing power parity; international dollars";Units;11247,014;11298,29;2018
NRU;Nauru;"Purchasing power parity; international dollars";Units;8349,188;8699,606;2016
NPL;Nepal;"Purchasing power parity; international dollars";Units;2870,869;3085,148;2015
NLD;Netherlands;"Purchasing power parity; international dollars";Units;54062,331;56488,609;2018
NZL;New Zealand;"Purchasing power parity; international dollars";Units;38742,794;40095,721;2018
NIC;Nicaragua;"Purchasing power parity; international dollars";Units;5671,076;5529,992;2017
NER;Niger;"Purchasing power parity; international dollars";Units;1011,425;1061,906;2009
NGA;Nigeria;"Purchasing power parity; international dollars";Units;5864,785;5966,821;2012
MKD;North Macedonia;"Purchasing power parity; international dollars";Units;14954,447;15714,897;2018
NOR;Norway;"Purchasing power parity; international dollars";Units;72120,168;74357,052;2017
OMN;Oman;"Purchasing power parity; international dollars";Units;46395,068;47932,847;2018
PAK;Pakistan;"Purchasing power parity; international dollars";Units;5362,017;5689,552;2018
PLW;Palau;"Purchasing power parity; international dollars";Units;14803,296;15743,554;2018
PAN;Panama;"Purchasing power parity; international dollars";Units;24488,48;25628,233;2018
PNG;Papua New Guinea;"Purchasing power parity; international dollars";Units;3832,286;3803,617;2014
PRY;Paraguay;"Purchasing power parity; international dollars";Units;12791,833;13399,773;2018
PER;Peru;"Purchasing power parity; international dollars";Units;13510,432;14241,53;2017
PHL;Philippines;"Purchasing power parity; international dollars";Units;8348,499;8942,668;2017
POL;Poland;"Purchasing power parity; international dollars";Units;29716,605;32005,005;2018
PRT;Portugal;"Purchasing power parity; international dollars";Units;30821,523;32411,846;2018
PRI;Puerto Rico;"Purchasing power parity; international dollars";Units;39245,661;39424,364;2018
QAT;Qatar;"Purchasing power parity; international dollars";Units;127602,587;129638,441;2017
ROU;Romania;"Purchasing power parity; international dollars";Units;24650,525;26447,945;2018
RUS;Russia;"Purchasing power parity; international dollars";Units;27473,647;28797,195;2018
RWA;Rwanda;"Purchasing power parity; international dollars";Units;2104,825;2287,346;2012
WSM;Samoa;"Purchasing power parity; international dollars";Units;5760,498;5899,443;2016
SMR;San Marino;"Purchasing power parity; international dollars";Units;58540,531;60333,678;2017
STP;Sгo Tomй and Prнncipe;"Purchasing power parity; international dollars";Units;3222,784;3313,074;2011
SAU;Saudi Arabia;"Purchasing power parity; international dollars";Units;54416,024;55730,184;2017
SEN;Senegal;"Purchasing power parity; international dollars";Units;3456,087;3671,203;2017
SRB;Serbia;"Purchasing power parity; international dollars";Units;16362,503;17552,396;2018
SYC;Seychelles;"Purchasing power parity; international dollars";Units;28810,451;30382,946;2015
SLE;Sierra Leone;"Purchasing power parity; international dollars";Units;1558,854;1616,494;2017
SGP;Singapore;"Purchasing power parity; international dollars";Units;96414,481;101386,821;2018
SVK;Slovak Republic;"Purchasing power parity; international dollars";Units;32994,141;35136,455;2018
